"","BM_AMIL_141053","BM_AMIL_141059","BM_AMIL_141065","JJ_AMIL_141050","JJ_AMIL_141056","JJ_AMIL_141062"
"ENSG00000100138",12438,14016,10100,8011,13243,13623
"ENSG00000105193",22853,25745,18618,17013,23773,27516
"ENSG00000068697",1491,2525,1487,1145,1709,1979
"ENSG00000127884",1932,1459,962,1359,2856,2078
"ENSG00000101361",15617,15890,12190,18716,31929,33424
"ENSG00000165502",5421,5879,4588,4528,6831,6993
"ENSG00000154723",4107,4482,2261,4227,6877,6836
"ENSG00000143158",1653,2011,1210,1292,2022,1956
"ENSG00000138279",5314,6152,3279,3077,8009,6983
"ENSG00000107223",2593,3204,2010,5171,7191,7702
"ENSG00000142541",5926,7523,4951,6992,11830,11663
"ENSG00000147677",18965,25103,17371,12258,18122,20960
"ENSG00000166710",112288,108755,74545,63942,105796,143059
"ENSG00000161016",134421,159985,117371,80811,115134,131004
"ENSG00000131495",1259,1184,706,1547,2478,2037
"ENSG00000142937",16843,21621,12500,14479,23521,23572
"ENSG00000166337",1214,1576,950,999,1610,1811
"ENSG00000107581",32278,40915,30208,13537,22588,24774
"ENSG00000008018",7214,12025,6317,3555,6710,5143
"ENSG00000178741",7967,7359,2708,2189,4348,3827
"ENSG00000044574",12857,13848,9534,14592,25206,25405
"ENSG00000115758",14800,22949,16391,24665,45137,48007
"ENSG00000182117",7464,8783,6049,2443,3981,3866
"ENSG00000119421",2654,2506,1884,954,1476,1800
"ENSG00000168264",16918,19352,12770,1986,3316,4307
"ENSG00000163956",3843,3253,1938,4722,7468,7780
"ENSG00000065978",8783,9273,6283,15468,25665,25256
"ENSG00000105968",31093,31329,24525,4054,6878,8198
"ENSG00000105887",46931,55019,41535,5654,9436,10579
"ENSG00000175130",1157,1069,668,6296,10348,9086
"ENSG00000075624",33281,33704,24975,124184,190345,203960
